image1,image2,label
data/images/c0_1_00013.jpg,data/images/c1_1_00180.jpg,1
data/images/c2_5_00135.jpg,data/images/c0_6_00011.jpg,0
data/images/c0_2_00010.jpg,data/images/c1_2_00146.jpg,1
data/images/c0_1_00014.jpg,data/images/c0_1_00095.jpg,1
data/images/c0_2_00003.jpg,data/images/c3_2_00272.jpg,1
data/images/c1_1_00161.jpg,data/images/c3_1_00342.jpg,1
data/images/c3_2_00317.jpg,data/images/c1_2_00129.jpg,1
data/images/c3_3_00182.jpg,data/images/c0_1_00015.jpg,0
data/images/c2_3_00156.jpg,data/images/c3_3_00191.jpg,1
data/images/c0_4_00017.jpg,data/images/c0_5_00013.jpg,0
data/images/c1_2_00171.jpg,data/images/c2_2_00207.jpg,1
data/images/c1_1_00175.jpg,data/images/c1_1_00114.jpg,1
data/images/c0_2_00041.jpg,data/images/c2_5_00143.jpg,0
data/images/c3_1_00357.jpg,data/images/c0_1_00037.jpg,1
data/images/c1_2_00126.jpg,data/images/c3_2_00257.jpg,1
data/images/c1_5_00112.jpg,data/images/c0_5_00049.jpg,1
data/images/c2_1_00240.jpg,data/images/c0_2_00076.jpg,0
data/images/c0_5_00027.jpg,data/images/c0_2_00065.jpg,0
data/images/c0_1_00059.jpg,data/images/c1_5_00099.jpg,0
data/images/c3_5_00199.jpg,data/images/c0_2_00072.jpg,0
data/images/c1_2_00098.jpg,data/images/c2_3_00152.jpg,0
data/images/c1_2_00169.jpg,data/images/c3_2_00308.jpg,1
data/images/c3_1_00308.jpg,data/images/c1_2_00097.jpg,0
data/images/c1_3_00107.jpg,data/images/c3_2_00308.jpg,0
data/images/c0_2_00080.jpg,data/images/c3_2_00262.jpg,1
data/images/c1_1_00167.jpg,data/images/c2_5_00172.jpg,0
data/images/c0_5_00032.jpg,data/images/c0_6_00016.jpg,0
data/images/c0_1_00055.jpg,data/images/c3_5_00237.jpg,0
data/images/c0_2_00002.jpg,data/images/c2_2_00239.jpg,1
data/images/c3_5_00201.jpg,data/images/c2_5_00150.jpg,1
data/images/c3_6_00084.jpg,data/images/c1_1_00192.jpg,0
data/images/c0_2_00084.jpg,data/images/c0_5_00006.jpg,0
data/images/c1_4_00061.jpg,data/images/c2_4_00089.jpg,1
data/images/c0_1_00064.jpg,data/images/c2_1_00219.jpg,1
data/images/c3_2_00283.jpg,data/images/c1_2_00104.jpg,1
data/images/c0_1_00017.jpg,data/images/c3_1_00327.jpg,1
data/images/c3_5_00193.jpg,data/images/c3_5_00238.jpg,1
data/images/c0_5_00038.jpg,data/images/c0_4_00016.jpg,0
data/images/c2_2_00186.jpg,data/images/c0_3_00027.jpg,0
data/images/c1_1_00210.jpg,data/images/c1_5_00070.jpg,0
data/images/c0_1_00029.jpg,data/images/c3_1_00307.jpg,1
data/images/c2_2_00237.jpg,data/images/c1_6_00041.jpg,0
data/images/c3_2_00313.jpg,data/images/c2_3_00145.jpg,0
data/images/c0_1_00078.jpg,data/images/c0_1_00086.jpg,1
data/images/c2_2_00205.jpg,data/images/c0_1_00052.jpg,0
data/images/c0_4_00009.jpg,data/images/c0_4_00019.jpg,1
data/images/c0_2_00044.jpg,data/images/c3_2_00262.jpg,1
data/images/c0_2_00034.jpg,data/images/c0_3_00026.jpg,0
data/images/c3_5_00205.jpg,data/images/c3_5_00193.jpg,1
data/images/c2_5_00180.jpg,data/images/c1_4_00048.jpg,0
data/images/c0_6_00027.jpg,data/images/c0_1_00014.jpg,0
data/images/c1_1_00137.jpg,data/images/c3_2_00299.jpg,0
data/images/c0_3_00010.jpg,data/images/c1_3_00097.jpg,1
data/images/c1_1_00116.jpg,data/images/c1_5_00086.jpg,0
data/images/c1_3_00105.jpg,data/images/c3_3_00195.jpg,1
data/images/c2_2_00229.jpg,data/images/c2_2_00196.jpg,1
data/images/c2_3_00142.jpg,data/images/c0_3_00042.jpg,1
data/images/c3_4_00110.jpg,data/images/c3_4_00115.jpg,1
data/images/c3_4_00104.jpg,data/images/c0_2_00077.jpg,0
data/images/c2_2_00242.jpg,data/images/c3_1_00356.jpg,0
data/images/c2_3_00133.jpg,data/images/c3_4_00105.jpg,0
data/images/c3_2_00327.jpg,data/images/c0_4_00007.jpg,0
data/images/c0_1_00012.jpg,data/images/c0_6_00015.jpg,0
data/images/c2_3_00151.jpg,data/images/c2_2_00206.jpg,0
data/images/c3_2_00295.jpg,data/images/c3_2_00320.jpg,1
data/images/c0_5_00041.jpg,data/images/c1_4_00057.jpg,0
data/images/c3_2_00283.jpg,data/images/c0_6_00020.jpg,0
data/images/c0_1_00062.jpg,data/images/c0_1_00040.jpg,1
data/images/c3_1_00338.jpg,data/images/c0_1_00006.jpg,1
data/images/c1_6_00037.jpg,data/images/c1_6_00048.jpg,1
data/images/c0_5_00009.jpg,data/images/c0_5_00008.jpg,1
data/images/c3_3_00201.jpg,data/images/c1_1_00150.jpg,0
data/images/c3_1_00313.jpg,data/images/c3_1_00347.jpg,1
data/images/c1_1_00105.jpg,data/images/c2_1_00265.jpg,1
data/images/c3_1_00357.jpg,data/images/c0_1_00009.jpg,1
data/images/c1_2_00159.jpg,data/images/c0_1_00060.jpg,0
data/images/c0_1_00021.jpg,data/images/c2_1_00224.jpg,1
data/images/c2_5_00161.jpg,data/images/c0_2_00060.jpg,0
data/images/c1_5_00083.jpg,data/images/c3_5_00223.jpg,1
