image1,image2,label
data/train/0449_c5s1_112495_02.jpg,data/train/0272_c6s1_065701_01.jpg,0
data/train/0397_c1s2_021866_02.jpg,data/train/0255_c5s1_060423_01.jpg,0
data/train/1350_c5s3_040940_05.jpg,data/train/1350_c1s5_066991_03.jpg,1
data/train/1240_c6s3_044042_01.jpg,data/train/1018_c1s4_070511_02.jpg,0
data/train/0239_c5s1_050326_02.jpg,data/train/1492_c1s6_013171_01.jpg,0
data/train/0619_c2s2_037762_02.jpg,data/train/0629_c5s2_024630_04.jpg,0
data/train/1018_c4s4_070741_01.jpg,data/train/0223_c3s1_052276_03.jpg,0
data/train/0754_c6s2_065893_01.jpg,data/train/0842_c5s2_107902_02.jpg,0
data/train/0688_c6s2_058468_03.jpg,data/train/0688_c2s2_067557_01.jpg,1
data/train/0772_c3s2_093028_04.jpg,data/train/0350_c6s1_081926_05.jpg,0
data/train/0002_c5s1_000476_02.jpg,data/train/0377_c5s1_089448_01.jpg,0
data/train/0704_c3s2_055337_01.jpg,data/train/0266_c2s1_056771_01.jpg,0
data/train/0704_c6s2_049518_02.jpg,data/train/1177_c5s3_007143_01.jpg,0
data/train/0976_c1s4_064411_03.jpg,data/train/0976_c1s4_062586_03.jpg,1
data/train/0307_c6s1_069751_02.jpg,data/train/0307_c3s1_069217_04.jpg,1
data/train/0616_c1s3_047451_03.jpg,data/train/0616_c3s2_019962_04.jpg,1
data/train/0223_c6s1_052901_11.jpg,data/train/0976_c1s4_064411_03.jpg,0
data/train/1434_c6s3_079242_01.jpg,data/train/0515_c1s2_069346_02.jpg,0
data/train/0358_c1s2_009666_02.jpg,data/train/0358_c3s1_082117_05.jpg,1
data/train/0575_c6s2_075218_06.jpg,data/train/0575_c5s2_081802_05.jpg,1
data/train/0404_c6s3_020317_03.jpg,data/train/0404_c2s1_095821_01.jpg,1
data/train/0251_c5s1_064348_04.jpg,data/train/0251_c5s1_052426_01.jpg,1
data/train/1327_c3s3_036228_02.jpg,data/train/0328_c6s1_075751_03.jpg,0
data/train/0973_c3s2_140319_01.jpg,data/train/0973_c1s5_005136_02.jpg,1
data/train/0333_c3s3_025153_05.jpg,data/train/0324_c6s1_074076_01.jpg,0
data/train/0298_c3s1_071317_02.jpg,data/train/0392_c1s2_018391_02.jpg,0
data/train/0309_c2s1_069321_04.jpg,data/train/0309_c6s1_070101_05.jpg,1
data/train/0754_c6s2_065943_01.jpg,data/train/0754_c3s2_071728_01.jpg,1
data/train/0696_c3s2_052462_03.jpg,data/train/0500_c1s2_060796_02.jpg,0
data/train/0148_c5s1_031001_01.jpg,data/train/0148_c5s1_024026_02.jpg,1
data/train/0833_c6s2_117118_01.jpg,data/train/0833_c6s2_101793_06.jpg,1
data/train/0197_c3s1_044676_02.jpg,data/train/0148_c1s3_059126_01.jpg,0
data/train/0202_c3s3_033028_02.jpg,data/train/0202_c4s5_013354_02.jpg,1
data/train/0773_c3s2_118719_02.jpg,data/train/0796_c1s4_028881_02.jpg,0
data/train/1402_c3s3_048628_03.jpg,data/train/1165_c5s3_003293_02.jpg,0
data/train/0557_c3s1_161658_01.jpg,data/train/0586_c4s3_025779_01.jpg,0
data/train/1240_c2s3_012507_01.jpg,data/train/1240_c1s5_047291_03.jpg,1
data/train/1344_c3s3_055703_04.jpg,data/train/1344_c2s3_033882_03.jpg,1
data/train/0605_c5s2_077952_02.jpg,data/train/0605_c6s2_051068_03.jpg,1
data/train/1235_c5s3_017015_01.jpg,data/train/1235_c4s5_048460_02.jpg,1
data/train/1300_c3s3_032028_02.jpg,data/train/1300_c6s3_055742_09.jpg,1
data/train/1364_c3s3_043303_01.jpg,data/train/1025_c6s2_126218_01.jpg,0
data/train/0656_c5s2_051905_03.jpg,data/train/0656_c5s2_052005_01.jpg,1
data/train/1218_c6s4_018152_06.jpg,data/train/1336_c6s3_069967_01.jpg,0
data/train/1052_c3s2_143144_05.jpg,data/train/1052_c1s5_007536_01.jpg,1
data/train/0522_c1s2_071346_03.jpg,data/train/0522_c4s2_070848_01.jpg,1
data/train/0011_c3s3_076119_07.jpg,data/train/0204_c5s1_041151_01.jpg,0
data/train/1116_c2s2_149627_01.jpg,data/train/1116_c4s5_016354_03.jpg,1
